Figura,area,perimeter,centroid,orientation,bbox,convex_area,convex_image,coords,eccentricity,equivalent_diameter,euler_number,extent,filled_area,filled_image,major_axis_length,minor_axis_length,orientation,solidity
Triángulo,1.0,0.0,"(129.0, 412.0)",0.7853981633974483,"(129, 412, 130, 413)",1.0,[[ True]],[[129 412]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Rectángulo,212421.0,1840.0,"(502.0, 454.0)",1.5707963267948966,"(277, 219, 728, 690)",212421.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[277 219]
 [277 220]
 [277 221]
 ...
 [727 687]
 [727 688]
 [727 689]]",0.2883105469992366,520.0603977733625,1,1.0,212421.0,212421.0,543.8627277784963,520.7686626516614,1.5707963267948966,1.0
Rectángulo,91392.0,1612.0,"(415.5, 360.5)",1.5707963267948966,"(348, 25, 484, 697)",91392.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[348  25]
 [348  26]
 [348  27]
 ...
 [483 694]
 [483 695]
 [483 696]]",0.9793079565932719,341.1215450135567,1,1.0,91392.0,91392.0,775.957902638195,157.0350279396288,1.5707963267948966,1.0
Rectángulo,102752.0,1550.0,"(472.0, 314.5)",1.5707963267948966,"(388, 11, 557, 619)",102752.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[388  11]
 [388  12]
 [388  13]
 ...
 [556 616]
 [556 617]
 [556 618]]",0.9605937965498834,361.7014095917065,1,1.0,102752.0,102752.0,702.0569777446842,195.1409746824075,1.5707963267948966,1.0
Rectángulo,15128.0,608.0,"(449.5, 451.5)",1.5707963267948966,"(419, 330, 481, 574)",15128.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[419 330]
 [419 331]
 [419 332]
 ...
 [480 571]
 [480 572]
 [480 573]]",0.967186504997736,138.78605056976562,1,1.0,15128.0,15128.0,281.7445651649735,71.58212067269312,1.5707963267948966,1.0
Rectángulo,9592.0,390.0,"(599.5, 691.0)",1.5707963267948966,"(556, 637, 644, 746)",9592.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[556 637]
 [556 638]
 [556 639]
 ...
 [643 743]
 [643 744]
 [643 745]]",0.5901121276777179,110.51205234317061,1,1.0,9592.0,9592.0,125.85706178041819,101.6070863670443,1.5707963267948966,1.0
Rectángulo,4674.0,274.0,"(509.0, 594.5)",1.5707963267948966,"(481, 554, 538, 636)",4674.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[481 554]
 [481 555]
 [481 556]
 ...
 [537 633]
 [537 634]
 [537 635]]",0.7189452998605534,77.14351322108782,1,1.0,4674.0,4674.0,94.678403028357,65.80780095601635,1.5707963267948966,1.0
Rectángulo,3825.0,256.0,"(747.0, 434.0)",1.5707963267948966,"(725, 392, 770, 477)",3825.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[725 392]
 [725 393]
 [725 394]
 ...
 [769 474]
 [769 475]
 [769 476]]",0.8484237224677706,69.78639737521918,1,1.0,3825.0,3825.0,98.14275317108238,51.94869263674175,1.5707963267948966,1.0
Rectángulo,3795.0,292.0,"(683.0, 149.0)",0.0,"(626, 133, 741, 166)",3795.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[626 133]
 [626 134]
 [626 135]
 ...
 [740 163]
 [740 164]
 [740 165]]",0.9579798264328897,69.51218650186414,1,1.0,3795.0,3795.0,132.78554138158265,38.08761828556187,0.0,1.0
Rectángulo,17292.0,1110.0,"(513.5, 769.0)",0.0,"(252, 753, 776, 786)",17292.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[252 753]
 [252 754]
 [252 755]
 ...
 [775 783]
 [775 784]
 [775 785]]",0.9980167896981234,148.38078786541212,1,1.0,17292.0,17292.0,605.0619802962337,38.08761828556187,0.0,1.0
